date,precipitation,pet,temperature,discharge_spec,discharge_vol,peti,humidity,shortwave_rad,longwave_rad,windspeed
1970-10-01,14.24,1.36,8.90,2.90,5.82,1.66,5.76,56.81,330.53,8.34
1970-10-02,0.85,1.33,6.54,3.74,7.50,1.64,4.94,95.42,295.14,10.16
1970-10-03,6.02,1.40,8.01,2.90,5.82,1.65,4.94,74.11,312.33,5.74
1970-10-04,8.35,0.00,9.18,2.42,4.86,0.27,8.06,46.73,338.06,7.73
1970-10-05,15.59,1.58,8.18,3.97,7.96,1.89,5.24,103.32,294.58,8.71
1970-10-06,5.20,1.07,6.90,12.61,25.29,1.39,5.27,60.03,315.58,9.17
1970-10-07,0.96,0.65,7.18,4.99,10.01,0.86,5.83,62.98,315.79,5.90
1970-10-08,0.02,0.89,7.16,2.90,5.82,0.92,5.22,79.17,302.63,4.38
1970-10-09,0.30,0.70,5.86,2.42,4.86,0.83,5.26,84.17,294.08,6.92
1970-10-10,0.41,0.85,9.36,2.10,4.22,0.99,6.40,85.36,309.43,4.64
1970-10-11,3.19,0.53,8.06,2.00,4.02,0.64,6.10,55.86,321.62,3.19
1970-10-12,0.87,0.28,10.20,2.10,4.22,0.35,7.86,54.61,333.55,3.10
1970-10-13,0.13,0.55,10.48,1.73,3.47,0.58,6.73,79.59,315.41,1.66
1970-10-14,0.06,0.35,8.89,1.64,3.30,0.37,6.79,58.68,322.36,2.14
1970-10-15,0.03,0.24,9.44,1.34,2.68,0.25,7.35,41.20,336.61,2.23
1970-10-16,0.20,0.42,9.23,1.41,2.82,0.46,6.59,72.18,312.21,1.90
1970-10-17,0.40,0.33,8.15,1.34,2.68,0.48,6.65,37.94,331.42,6.30
1970-10-18,13.97,1.36,9.28,1.34,2.68,1.72,6.05,35.23,337.05,12.00
1970-10-19,0.19,1.14,5.52,1.07,2.15,1.37,4.56,58.86,297.39,10.20
1970-10-20,0.04,1.21,2.70,1.73,3.47,1.35,3.36,56.15,281.91,9.00
1970-10-21,0.00,1.24,3.53,1.07,2.15,1.24,3.21,44.22,292.96,6.02
1970-10-22,0.00,0.52,6.20,1.07,2.15,0.52,5.22,58.18,300.40,4.37
1970-10-23,0.72,0.63,7.37,1.07,2.15,0.83,5.76,30.06,329.42,6.67
1970-10-24,1.24,0.44,7.96,1.07,2.15,0.62,6.29,29.04,333.15,5.97
1970-10-25,1.57,0.47,6.87,1.34,2.68,0.63,5.64,35.75,320.70,4.95
1970-10-26,0.54,0.79,4.00,1.48,2.98,1.06,4.14,62.14,280.00,6.88
1970-10-27,1.46,0.42,2.64,0.85,1.71,0.55,3.87,26.83,304.75,3.45
1970-10-28,13.13,0.62,3.28,1.07,2.15,0.78,3.62,33.88,298.45,3.58
1970-10-29,15.82,0.24,5.23,2.42,4.86,0.38,5.39,28.53,317.34,6.10
1970-10-30,2.17,0.43,7.01,8.25,16.55,0.64,5.87,39.67,314.43,7.24
1970-10-31,17.23,0.77,8.02,6.44,12.91,0.98,5.59,24.67,332.29,5.40
1970-11-01,8.84,1.38,6.73,6.17,12.37,1.73,4.64,40.70,306.14,10.17
