date,precipitation,pet,temperature,discharge_spec,discharge_vol,peti,humidity,shortwave_rad,longwave_rad,windspeed
1970-10-01,6.45,1.17,8.03,NaN,NaN,1.44,5.54,61.58,322.46,7.06
1970-10-02,1.54,1.23,6.08,NaN,NaN,1.56,4.85,98.51,287.29,9.42
1970-10-03,7.48,1.21,7.47,NaN,NaN,1.43,4.85,71.36,309.58,4.98
1970-10-04,1.85,0.17,8.78,NaN,NaN,0.33,7.43,46.20,336.18,6.23
1970-10-05,4.23,1.40,8.06,NaN,NaN,1.61,5.27,100.65,290.62,7.52
1970-10-06,0.42,1.11,6.75,NaN,NaN,1.35,5.16,61.58,312.06,8.89
1970-10-07,2.46,0.59,6.82,NaN,NaN,0.77,5.67,60.80,313.70,4.73
1970-10-08,0.28,0.71,6.73,NaN,NaN,0.81,5.26,72.85,302.28,3.90
1970-10-09,0.24,0.76,5.73,NaN,NaN,0.90,5.07,78.61,292.43,6.79
1970-10-10,0.07,0.79,9.20,NaN,NaN,0.82,6.32,83.84,304.83,4.47
1970-10-11,0.92,0.43,7.20,NaN,NaN,0.52,5.84,58.24,314.09,2.59
1970-10-12,0.24,0.16,9.32,NaN,NaN,0.22,7.69,46.44,333.63,2.61
1970-10-13,0.04,0.33,9.64,NaN,NaN,0.34,6.62,69.00,315.38,0.91
1970-10-14,0.01,0.23,7.54,NaN,NaN,0.24,6.46,52.22,318.77,1.72
1970-10-15,0.00,0.18,8.64,NaN,NaN,0.18,7.15,41.71,331.70,1.71
1970-10-16,0.03,0.30,9.17,NaN,NaN,0.30,6.57,70.64,308.31,1.28
1970-10-17,0.09,0.40,8.08,NaN,NaN,0.46,6.47,38.19,329.89,5.31
1970-10-18,11.38,1.49,9.10,NaN,NaN,1.84,5.77,32.63,337.22,11.03
1970-10-19,3.15,0.97,4.83,NaN,NaN,1.31,4.49,57.58,291.88,10.05
1970-10-20,7.00,1.01,2.10,NaN,NaN,1.37,3.48,47.30,285.27,10.02
1970-10-21,0.62,1.19,3.42,NaN,NaN,1.45,3.33,38.27,297.05,6.48
1970-10-22,0.47,0.35,5.97,NaN,NaN,0.46,5.34,51.59,301.95,3.65
1970-10-23,1.39,0.57,6.69,NaN,NaN,0.77,5.48,29.98,325.37,5.58
1970-10-24,0.43,0.43,7.21,NaN,NaN,0.53,5.89,28.79,328.88,4.92
1970-10-25,1.12,0.37,6.11,NaN,NaN,0.46,5.37,34.65,316.47,3.73
1970-10-26,0.96,0.62,3.09,NaN,NaN,0.84,3.95,56.75,274.46,6.02
1970-10-27,0.29,0.41,1.51,NaN,NaN,0.49,3.34,26.19,297.78,2.74
1970-10-28,12.52,0.57,1.97,NaN,NaN,0.72,3.23,36.84,286.05,3.50
1970-10-29,3.52,0.28,4.23,NaN,NaN,0.41,4.92,27.37,312.19,5.09
1970-10-30,0.32,0.28,6.26,NaN,NaN,0.40,5.71,43.92,302.99,6.38
1970-10-31,3.37,0.67,7.00,NaN,NaN,0.85,5.16,18.70,327.23,4.81
1970-11-01,6.78,1.27,6.19,NaN,NaN,1.62,4.53,38.67,301.80,9.95
1970-11-02,11.52,0.43,5.32,NaN,NaN,0.59,5.03,25.43,316.21,5.12
1970-11-03,0.23,0.50,5.08,NaN,NaN,0.70,4.93,28.26,310.59,6.78
1970-11-04,6.32,0.37,4.28,NaN,NaN,0.53,4.77,23.99,311.48,5.61
1970-11-05,1.98,0.49,3.83,NaN,NaN,0.73,4.41,41.28,284.18,7.17
1970-11-06,3.22,0.31,2.43,NaN,NaN,0.40,3.51,29.44,289.64,2.52
1970-11-07,3.01,0.10,2.51,NaN,NaN,0.14,3.99,33.26,286.19,1.91
1970-11-08,4.66,0.16,4.77,NaN,NaN,0.29,5.36,28.23,306.19,9.68
1970-11-09,2.41,0.75,4.26,NaN,NaN,1.09,4.41,33.44,291.84,10.17
1970-11-10,0.80,0.41,4.06,NaN,NaN,0.53,4.16,20.43,308.74,3.31
1970-11-11,1.84,0.30,3.14,NaN,NaN,0.42,4.37,26.62,295.82,5.72
1970-11-12,1.05,0.38,0.83,NaN,NaN,0.52,3.55,34.35,270.12,6.92
1970-11-13,0.00,0.21,0.63,NaN,NaN,0.21,3.55,37.74,263.19,5.18
1970-11-14,0.95,0.16,-0.97,NaN,NaN,0.23,2.91,33.15,259.63,3.01
1970-11-15,2.57,0.14,-0.44,NaN,NaN,0.21,3.20,37.57,255.06,3.86
1970-11-16,0.38,0.00,-0.39,NaN,NaN,0.00,4.03,36.22,261.98,4.39
1970-11-17,2.68,0.12,1.74,NaN,NaN,0.18,4.06,12.59,302.09,3.56
1970-11-18,1.35,0.00,1.87,NaN,NaN,0.01,4.25,28.70,280.17,1.58
1970-11-19,0.20,0.25,0.87,NaN,NaN,0.29,3.69,19.64,288.70,5.35
1970-11-20,12.79,0.19,0.99,NaN,NaN,0.27,3.32,29.16,268.69,3.21
1970-11-21,0.76,0.00,1.00,NaN,NaN,0.00,4.77,7.69,301.56,5.87
1970-11-22,0.15,0.21,1.73,NaN,NaN,0.25,3.68,26.99,275.11,4.09
1970-11-23,19.00,0.46,3.35,NaN,NaN,0.63,4.05,13.72,308.22,4.59
1970-11-24,1.64,0.00,5.54,NaN,NaN,0.00,6.57,13.57,322.76,5.29
1970-11-25,1.72,0.00,5.30,NaN,NaN,0.01,5.48,7.05,320.74,1.51
1970-11-26,4.10,0.05,4.47,NaN,NaN,0.08,4.86,15.46,310.23,2.02
1970-11-27,2.40,0.00,4.49,NaN,NaN,0.00,5.74,14.09,314.74,4.03
1970-11-28,2.61,0.00,5.29,NaN,NaN,0.00,5.79,7.92,321.23,2.18
1970-11-29,9.98,0.02,3.74,NaN,NaN,0.04,4.92,6.75,312.97,4.06
1970-11-30,1.45,0.08,2.83,NaN,NaN,0.13,4.60,12.24,307.44,5.06
1970-12-01,0.45,0.11,2.21,NaN,NaN,0.17,4.02,24.35,275.19,4.50
1970-12-02,7.93,0.02,2.33,NaN,NaN,0.03,4.53,11.60,305.71,4.37
1970-12-03,1.58,0.33,0.35,NaN,NaN,0.43,2.88,13.33,285.56,2.96
1970-12-04,5.56,0.02,1.08,NaN,NaN,0.04,4.03,22.33,273.48,6.23
1970-12-05,3.31,0.57,3.88,NaN,NaN,0.84,4.32,21.47,285.73,9.25
1970-12-06,1.89,0.44,2.73,NaN,NaN,0.63,3.83,19.67,282.77,5.87
1970-12-07,0.24,0.24,1.30,NaN,NaN,0.34,3.60,18.20,279.99,4.68
1970-12-08,0.01,0.08,0.99,NaN,NaN,0.08,3.69,21.36,270.79,4.26
1970-12-09,0.14,0.01,3.45,NaN,NaN,0.01,4.73,16.91,294.66,2.73
1970-12-10,0.00,0.01,2.33,NaN,NaN,0.01,4.38,11.93,301.28,1.75
1970-12-11,0.12,0.00,1.06,NaN,NaN,0.00,4.07,12.13,294.48,1.74
1970-12-12,0.98,0.00,1.43,NaN,NaN,0.00,4.22,10.53,300.23,2.63
1970-12-13,0.07,0.39,1.67,NaN,NaN,0.45,3.52,16.11,283.06,5.18
1970-12-14,0.07,0.03,2.11,NaN,NaN,0.04,4.09,12.61,296.46,2.11
1970-12-15,0.17,0.11,2.31,NaN,NaN,0.15,4.19,11.65,300.03,4.00
1970-12-16,1.28,0.40,4.73,NaN,NaN,0.56,4.55,18.51,292.36,5.97
1970-12-17,0.42,0.71,4.60,NaN,NaN,0.98,4.22,20.15,285.63,7.86
1970-12-18,0.62,0.15,6.07,NaN,NaN,0.22,5.64,5.24,324.37,5.65
1970-12-19,1.54,0.07,6.90,NaN,NaN,0.11,6.23,8.35,328.67,6.52
1970-12-20,0.69,0.51,1.39,NaN,NaN,0.73,3.25,19.20,271.21,5.88
1970-12-21,0.53,0.45,-0.97,NaN,NaN,0.64,2.50,21.46,252.57,4.84
1970-12-22,3.79,0.45,0.56,NaN,NaN,0.61,2.96,13.02,283.08,4.19
1970-12-23,4.94,0.10,1.13,NaN,NaN,0.19,4.04,12.25,293.06,6.84
1970-12-24,0.99,0.08,1.95,NaN,NaN,0.13,4.19,10.17,302.25,3.89
1970-12-25,3.14,0.13,0.98,NaN,NaN,0.19,3.62,13.17,287.99,3.39
1970-12-26,1.91,0.00,1.46,NaN,NaN,0.00,4.35,10.07,301.38,5.04
1970-12-27,2.62,0.33,0.13,NaN,NaN,0.47,3.19,7.91,291.06,4.39
1970-12-28,2.20,0.18,0.14,NaN,NaN,0.27,3.39,7.71,292.76,3.73
1970-12-29,2.95,0.16,0.12,NaN,NaN,0.29,3.65,11.17,291.24,6.34
1970-12-30,1.62,0.25,-1.50,NaN,NaN,0.42,3.05,16.61,269.10,6.80
1970-12-31,0.22,0.13,-1.93,NaN,NaN,0.17,2.94,15.22,270.63,4.18
1971-01-01,0.38,0.18,-1.77,NaN,NaN,0.25,2.85,15.14,270.69,3.89
1971-01-02,0.02,0.00,-1.18,NaN,NaN,0.00,3.47,6.56,288.28,1.61
1971-01-03,0.00,0.05,-1.44,NaN,NaN,0.05,2.92,18.59,264.69,2.41
1971-01-04,0.03,0.04,-2.17,NaN,NaN,0.04,3.05,12.11,279.14,2.81
1971-01-05,1.01,0.04,-1.86,NaN,NaN,0.06,3.17,10.10,284.09,3.21
1971-01-06,7.65,0.65,2.40,NaN,NaN,0.86,3.42,5.99,301.77,5.26
1971-01-07,9.35,0.00,3.77,NaN,NaN,0.00,6.06,17.72,301.43,10.25
1971-01-08,6.63,0.62,6.53,NaN,NaN,0.85,5.18,15.23,316.00,6.96
1971-01-09,6.08,0.91,7.95,NaN,NaN,1.24,5.73,13.23,328.87,10.44
1971-01-10,0.03,0.78,8.78,NaN,NaN,0.82,5.84,15.35,328.05,6.48
1971-01-11,0.00,0.17,4.94,NaN,NaN,0.17,4.80,23.31,292.63,4.22
1971-01-12,0.00,0.05,1.28,NaN,NaN,0.06,3.65,13.06,296.88,1.35
1971-01-13,0.38,0.00,1.66,NaN,NaN,0.00,4.48,6.80,303.32,1.68
1971-01-14,0.38,0.00,2.86,NaN,NaN,0.00,4.85,14.45,305.86,1.94
1971-01-15,0.00,0.00,1.75,NaN,NaN,0.00,4.39,10.34,303.12,1.07
1971-01-16,0.29,0.02,0.66,NaN,NaN,0.02,3.60,23.52,275.12,1.44
1971-01-17,3.84,0.13,2.04,NaN,NaN,0.19,4.08,14.69,301.36,3.24
1971-01-18,4.71,0.21,2.86,NaN,NaN,0.35,4.47,14.71,306.62,6.21
1971-01-19,0.53,0.21,3.54,NaN,NaN,0.30,4.52,29.10,282.40,6.26
1971-01-20,13.68,0.23,1.85,NaN,NaN,0.33,3.89,19.49,292.41,4.23
1971-01-21,25.72,0.00,1.38,NaN,NaN,0.00,4.54,15.57,301.35,6.34
1971-01-22,5.55,0.01,1.73,NaN,NaN,0.02,4.17,18.30,297.30,1.40
1971-01-23,4.80,0.12,2.47,NaN,NaN,0.20,4.37,23.66,292.21,5.34
1971-01-24,6.18,0.08,1.80,NaN,NaN,0.15,4.33,19.63,297.21,6.41
1971-01-25,1.59,0.00,2.39,NaN,NaN,0.00,4.93,17.06,306.52,3.41
1971-01-26,3.06,0.03,1.60,NaN,NaN,0.05,4.03,19.78,296.62,1.45
1971-01-27,7.99,0.00,1.66,NaN,NaN,0.00,4.41,9.36,303.08,1.96
1971-01-28,3.39,0.09,1.92,NaN,NaN,0.13,4.17,13.26,303.08,3.35
1971-01-29,7.38,0.01,0.61,NaN,NaN,0.02,3.85,11.56,296.84,1.63
1971-01-30,3.05,0.12,-1.37,NaN,NaN,0.16,3.04,23.73,277.64,2.41
1971-01-31,0.48,0.41,-2.05,NaN,NaN,0.64,2.85,33.75,260.40,8.29
1971-02-01,0.11,0.36,-1.76,NaN,NaN,0.44,2.68,25.20,274.38,3.87
1971-02-02,0.36,0.86,2.27,NaN,NaN,1.11,3.57,20.94,300.94,8.43
1971-02-03,0.00,0.00,4.69,NaN,NaN,0.00,5.99,39.67,297.08,8.69
1971-02-04,0.00,0.32,5.46,NaN,NaN,0.32,4.76,46.24,287.67,3.54
